,"Mitchell, Bob",,"1,001 Life story questions",".","Engadine NSW, Bob Mitchell, 6th. ed., 2010",".","95p.",".",646459236,,"...............",,"907.2  MIT","2012 - Jan.","...................","32.95",".........",,743,"Oral history   2. Interviewing"
,"Runting, Muriel (comp.) & Blazé, B. R. (Ed.)",,"Ancestors for Australians. How to trace your family tree",".","Melbourne, G.S.V., rev.ed. 1980",".","99p.",".",,,"...............",,"929.1  RUN","...............","...................","........","........",,11,"Victoria - Genealogy"
,"Inverloch Historical Society Inc.",,"Anderson Inlet Inverloch. A short A - Z history",,"Inverloch, Inverloch Historical Society, 1997",".","68p., illus.",".",,,"...............",,"LH  994.56  INV","2013 - Aug. ","don. - Jan Andrews","........",".........",,895,"Victoria - Inverloch"
,"Mendham, Dawn",", Dawn","Anzac tradition. Between the lines",,"Melbourne, Australia Post, 1990",0,"55p., illus.",,"0 642 14946 1",,,,"940.422  MEN","2015 Feb.","Bill's book shed","2.00",,,1029,"War - 1914 -1918 - Australia   2. War - 1939 -1945 - Australia"
,"Adam-Smith, Patsy",,"Anzacs, The",".","Melb., Thomas Nelson, 1985",".","372p., illus., bibliog.",".",,,"...............",,"940.481  ADA","2009","don. - Jenny Adam ","........","........",,574,"War - 1914-1918 - Personal narratives, Australian.  2. War - 1914-1918 - Campaigns  3. Australia - Army"
,"Larkins, John ",,"As time goes by",,"Adelaide, Rigby, 2nd. ed. 1979",0,"295p., illus.",,,,,,"994.042  LAR","2015 Feb.","Bill's book shed","5.00",,,1037,"Australia - Social life and customs"
,"Rothfield, Pamela",,"At home on the hill. Stories of pioneers in the first thirty years of the P. I. cemetery",,"Phillip Island Cemetery Trust, Pamela Rothfield, 2018",,"186p., illus.",,"978-0-646-99552-6",,"...............",,"LH  929.5  ROT","2018  Nov.","don. - Pamela Rothfield","(35.00)",,,1144,"Victoria - Phillip Island   2. Victoria - Cemeteries"
,"Hooper, F    C                      ",,"At King Spud's court. The story of the Kooweerup Potato Festival's first ten years. ",".","F.C.Hooper, 1981",".","108p., illus.",".",,,"...............",,"994.52  HOO 1","...............","...................","........","........",,509,"Victoria - Koo Wee Rup"
,"Rothery, F.M.",,"Atlas of Bundaleer Plains and Tatala",".","Canberra, A.N.U.P., 1970",".","55p., illus., charts",".",,,"...............",,"912.943  BUL","...............","...................","........","........",,12,"N.S.W. - Bundaleer - Maps   2. Queensland - Tatala - Maps"
,"Yarwood. A.T.",,"Attitudes to non-European immigration",".","Australia, Cassell, 1968",".","146 p. + index",".",,,"Problems in Australian History",0,"325.94  YAR","...............","...................","........","........",,13,"Australia - Race relations  2. Australia - Immigration"
,"Baglin, Douglass",,"Australia",".","French's Forest, Murray Child, 1978",".","159p. illus.",".",,,"...............",,"919.404  BAG","...............","...................","........","........",,15,"Australia - Description and travel"
,"Crawford, R. M.",,"Australia",".","Melbourne, Hutchinson, rev.ed.1960",".","203p.",".",,,"...............",,"994  CRA","2009","don. - Jenny Adam ","........","........",,575,"Australia - History"
,"Ward, Russell",,"Australia    ",".","Sydney, Ure Smith, 1969     (rev. ed. 1967) ???  ",".","195 p. B&w photos / charts",".",,,"Walkabout pocketbook",0,"994  WAR","2009","don. - Jenny Adam ","........","........",,576,"Australia - History"
,".......................................",,"Australia 1901 - 1976",".","Sydney, Oswald Ziegler Publications, 1976",".","360p., illus.",".",,,"...............",,"994.04  AUS 2","...............","...................","............",".........",,846,"Australia - History - 20th century"
,"Richardson, Henry Handel",,"Australia Felix",".","Sydney, Penguin, 1971",".","..............",".",,,"Penguin modern classics",0,"RIC","2009","don. - Jenny Adam ","........","........",,640,"title 2: Fortunes of Richard Mahony"
,".......................................",,"Australia through time                                                                                                                ",".","Random House, 4th rev. ed. 1996                                                                                                                    ",".","545p., illus.",".",,,"...............",,"994.04  AUS","...............","...................","........","........",,16,"Australia - History - 1851-1901  2. Australia - History - 20th century"
,"Fraser, John Foster",,"Australia, the making of a nation",".","Melbourne, Cassell, 1910",".","299p., photos",".",,,"...............",,"994  FRA","...............","...................","........","........",,17,"Australia - Politics and government - 1901-1922  2. Australia - Description and travel"
,"Greenwood, Gordon",,"Australia. A Social and political history",".","Melbourne, A & R, 1955",".","445p., illus.",".",,,"...............",,"994  GRE","...............","...................","........","........",,18,"Australia - History"
,"Pike, Douglas",,"Australia. The quiet continent. ",".","Cambridge, C.U.P., 2nd. ed. 1970",".","244p.",".",,,"...............",,"994  PIK","2009","don. - Jenny Adam ","........","........",,577,"Australia - History"
,"Molitorisz, Sacha",,"Australian bushrangers. The romance of robbery",".","Beacon Hill, NSW, Murray David, 1998",".","62p., illus.",".",,,"...............",,"364.155  MOL","2011 - Nov.","don. - Jan Andrews","........","........",,726,"Bushrangers - Australia"
,".......................................",,"Australian dictionary of biography.  Supplement  1580-1980 with name index to 1980",".","Melbourne, M.U.P.,2005",".","520p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,421,"Australia - Biography - Dictionaries - Index"
,".......................................",,"Australian dictionary of biography.  Vol 01.  1788-1850  A-H",".","Melbourne, M.U.P., 1966",".","578p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,422,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 02.  1788-1850  I-Z",".","Melbourne, M.U.P., 1967",".","634p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,423,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 03.  1851-1890  A-C",".","Melbourne, M.U.P., 1969",".","516P.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,424,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 04. 1851-1890 D-J",".","Melbourne, M.U.P., 1972",".","494p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,425,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 05. 1851-1890  K-Q",".","Melbourne, M.U.P, 1974.",".","467p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,426,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 06.  1851-1890  R-Z",".","Melbourne, M.U.P. 1976.",".","46P.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,427,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 07  1891-1939  A-Ch",".","Melbourne, M.U.P., 1979",".","647p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,428,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 08.  1891-1939   Cl-Gib",".","Melbourne, M.U.P. 1981",".","660p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,429,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 09. 1891-1939  Gil-Las",".","Melbourne, M.U.P., 1983",".","676p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,430,"Australia - Biography - Dictionaries"
